"student_id","minutes_watched","paid_in_q2"
"19577","14.57","0"
"19603","0.50","0"
"19677","121.67","0"
"19732","1.47","0"
"19737","25.63","0"
"19741","0.83","0"
"19742","0.20","0"
"19858","0.13","0"
"19878","23.23","0"
"20041","1.93","0"
"20065","0.47","0"
"20125","6.70","0"
"20218","1.63","0"
"20228","0.30","0"
"20365","0.33","0"
"20403","3.43","0"
"20404","0.73","0"
"20420","118.07","0"
"20427","1.00","0"
"20455","2.70","0"
"20520","14.00","0"
"20595","0.17","0"
"20777","68.73","0"
"20811","118.83","0"
"20817","62.63","0"
"20824","7.43","0"
"20860","5.10","0"
"20885","9.27","0"
"21253","0.23","0"
"21409","1.73","0"
"21433","8.00","0"
"21482","54.23","0"
"21515","18.50","0"
"21559","0.43","0"
"21603","209.83","0"
"21684","1.80","0"
"21827","0.17","0"
"21844","29.03","0"
"21865","389.47","0"
"21869","192.30","0"
"22083","143.63","0"
"22161","0.13","0"
"22194","20.73","0"
"22239","1.87","0"
"22274","133.27","0"
"22622","0.20","0"
"22670","0.13","0"
"22708","0.70","0"
"22746","1.00","0"
"22774","8.77","0"
"22821","3.83","0"
"22844","0.13","0"
"22852","66.30","0"
"22959","0.97","0"
"22961","0.30","0"
"23036","7.60","0"
"23139","7.63","0"
"23548","55.37","0"
"23578","2.40","0"
"23584","29.30","0"
"23609","0.30","0"
"23805","198.63","0"
"23891","0.37","0"
"24023","0.93","0"
"24092","0.60","0"
"24121","8.23","0"
"24159","0.13","0"
"24165","23.93","0"
"24264","0.87","0"
"24276","12.13","0"
"24328","0.17","0"
"24419","1.50","0"
"24485","42.77","0"
"24509","116.73","0"
"24523","1.80","0"
"24564","30.17","0"
"24597","0.33","0"
"24720","0.20","0"
"24731","0.17","0"
"24738","0.13","0"
"24739","15.70","0"
"24748","2.73","0"
"24774","0.10","0"
"24778","0.17","0"
"24849","0.10","0"
"24883","3.37","0"
"24972","39.07","0"
"25103","0.37","0"
"25132","0.20","0"
"25280","1.90","0"
"25316","0.97","0"
"25359","2241.90","0"
"25769","14.77","0"
"25920","0.23","0"
"25966","0.63","0"
"26002","14.97","0"
"26063","18.13","0"
"26179","98.50","0"
"26188","0.50","0"
"26296","0.43","0"
"26867","2.87","0"
"26907","24.43","0"
"26949","6.40","0"
"27367","0.37","0"
"27499","0.20","0"
"27673","56.63","0"
