student_id,minutes_watched,paid_in_q2
2967,0.87,1
2973,137.37,1
2978,70.47,1
3002,2755.77,1
3011,1172.77,1
3016,48.33,1
3017,333.23,1
3022,1015.7,1
3031,273.57,1
3034,4.37,1
3048,41.57,1
3050,55.77,1
3062,75.7,1
3070,1727.27,1
3074,50.6,1
3080,343.0,1
3082,52.5,1
3090,83.6,1
3092,1218.2,1
3099,167.77,1
3112,44.83,1
3115,103.43,1
3130,0.47,1
3138,53.17,1
3146,0.37,1
3147,47.17,1
3148,42.53,1
3161,229.57,1
3162,807.93,1
3187,153.73,1
3188,1218.1,1
3199,31.77,1
3213,1050.23,1
3215,354.63,1
3219,300.8,1
3221,187.27,1
3239,756.8,1
3248,68.47,1
3266,11.9,1
3272,278.67,1
3286,7.97,1
3288,373.97,1
3291,2758.93,1
3297,129.2,1
3303,886.43,1
3305,616.8,1
3316,0.2,1
3338,1590.67,1
3359,558.63,1
3364,760.87,1
3366,377.23,1
3367,203.87,1
3379,0.7,1
3381,109.9,1
3393,20.33,1
3402,26.47,1
3414,0.47,1
3416,0.3,1
3419,2.53,1
3420,939.13,1
3423,908.7,1
3426,35.0,1
3430,2692.0,1
3441,91.4,1
3447,20.2,1
3453,591.63,1
3466,503.4,1
3467,34.47,1
3468,1344.6,1
3470,40.47,1
3471,468.8,1
3473,71.6,1
3478,1648.33,1
3481,5.93,1
3494,544.13,1
3498,3449.67,1
3512,766.23,1
3513,477.57,1
3524,349.27,1
3538,2167.7,1
3550,334.63,1
3558,311.37,1
3575,507.57,1
3589,0.57,1
3598,67.03,1
3611,135.7,1
3613,2382.43,1
3626,1648.1,1
3641,385.1,1
3643,4170.47,1
3647,1207.37,1
3659,10.73,1
3661,62.53,1
3663,1806.87,1
3675,7.77,1
3679,39.1,1
3681,273.8,1
3685,9.5,1
3687,1558.77,1
3688,340.8,1
3691,173.37,1
3698,3301.87,1
3700,262.07,1
3702,146.77,1
3704,43.67,1
3707,1324.53,1
3708,2.67,1
3709,2880.7,1
3712,95.7,1
3728,1787.5,1
3750,103.63,1
3758,307.93,1
3774,2139.53,1
3779,1184.6,1
3780,251.3,1
3781,3201.43,1
3785,724.47,1
3787,432.67,1
3797,613.63,1
3799,230.23,1
3809,14.63,1
3814,328.23,1
3815,421.9,1
3817,61.57,1
3824,17.33,1
3832,516.6,1
3840,0.83,1
3850,811.17,1
3852,2014.23,1
3856,1926.73,1
3857,5.0,1
3860,532.9,1
3864,938.47,1
3865,455.4,1
3874,4.07,1
3875,1035.27,1
3897,0.23,1
3908,26.63,1
3913,0.4,1
3914,17.17,1
3920,0.13,1
3927,2786.13,1
3931,3.97,1
3934,197.43,1
3936,599.57,1
3938,100.77,1
3943,167.13,1
3949,428.13,1
3965,19.17,1
3969,112.4,1
3977,218.63,1
3980,24.3,1
3983,37.23,1
3984,1394.27,1
3985,0.73,1
3987,206.73,1
4001,362.3,1
4003,0.1,1
4013,2401.23,1
4019,830.6,1
4034,2453.63,1
4040,1481.17,1
4043,1096.03,1
4050,4047.1,1
4053,99.07,1
4054,199.17,1
4055,17.67,1
4062,178.87,1
4097,0.13,1
4104,503.23,1
4112,9.9,1
4132,1004.73,1
4135,0.17,1
4143,153.2,1
4156,754.1,1
4158,39.93,1
4160,240.97,1
4162,1.1,1
4186,453.5,1
4220,79.8,1
4230,525.6,1
4231,1339.83,1
4241,58.1,1
4266,330.6,1
4294,102.87,1
4311,9.17,1
4320,10.27,1
4322,103.6,1
4336,1895.9,1
4337,2037.23,1
4347,69.97,1
4360,821.33,1
4363,111.03,1
4371,27.8,1
4376,429.37,1
4377,84.07,1
4381,30.17,1
4384,796.63,1
4393,234.43,1
4395,2.6,1
4400,2075.53,1
4402,649.6,1
4404,1230.7,1
4413,1667.3,1
4435,1612.63,1
4450,0.7,1
4458,139.87,1
4464,67.8,1
4514,612.3,1
4515,174.1,1
